invoice_id,approver,approval_status,approval_date
INV0000034,EMP0115,Approved,2025-07-04 07:53:42.838248
INV0000035,EMP0109,Approved,2024-09-22 07:53:42.838248
INV0000036,EMP0002,Approved,2025-10-24 07:53:42.838248
INV0000037,EMP0069,Approved,2024-08-16 07:53:42.838248
INV0000038,EMP0115,Approved,2025-07-21 07:53:42.838248
INV0000039,EMP0042,Approved,2024-09-25 07:53:42.838248
INV0000040,EMP0045,Approved,2026-03-30 07:53:42.838248
INV0000041,EMP0057,Approved,2025-08-06 07:53:42.838248
INV0000042,EMP0079,Approved,2026-02-23 07:53:42.838248
INV0000043,EMP0033,Approved,2025-10-12 07:53:42.838248
INV0000044,EMP0086,Approved,2025-06-03 07:53:42.838248
INV0000045,EMP0074,Approved,2025-12-04 07:53:42.838248
INV0000046,EMP0017,Approved,2024-09-10 07:53:42.838248
INV0000047,EMP0037,Approved,2024-10-22 07:53:42.838248
INV0000048,EMP0078,Approved,2024-10-03 07:53:42.838248
INV0000049,EMP0016,Approved,2026-05-01 07:53:42.838248
INV0000050,EMP0119,Approved,2024-08-18 07:53:42.838248
INV0000051,EMP0086,Approved,2026-07-03 07:53:42.838248
INV0000052,EMP0051,Approved,2025-10-01 07:53:42.838248
INV0000053,EMP0014,Approved,2025-12-26 07:53:42.838248
INV0000054,EMP0040,Approved,2025-07-16 07:53:42.838248
INV0000055,EMP0025,Approved,2025-04-24 07:53:42.838248
INV0000056,EMP0006,Approved,2025-08-31 07:53:42.838248
INV0000057,EMP0087,Approved,2026-06-04 07:53:42.838248
INV0000058,EMP0070,Approved,2026-04-16 07:53:42.838248
INV0000059,EMP0043,Approved,2024-09-14 07:53:42.838248
INV0000060,EMP0027,Approved,2024-10-13 07:53:42.838248
INV0000061,EMP0106,Approved,2025-04-25 07:53:42.838248
INV0000062,EMP0061,Approved,2026-05-12 07:53:42.838248
INV0000063,EMP0088,Approved,2025-06-15 07:53:42.838248
INV0000064,EMP0062,Approved,2026-02-25 07:53:42.838248
INV0000065,EMP0090,Approved,2025-07-02 07:53:42.838248
INV0000066,EMP0018,Approved,2026-05-11 07:53:42.838248
INV0000067,EMP0050,Approved,2024-11-18 07:53:42.838248
INV0000068,EMP0064,Approved,2025-05-22 07:53:42.838248
INV0000069,EMP0095,Approved,2026-04-28 07:53:42.838248
INV0000070,EMP0012,Approved,2024-11-16 07:53:42.838248
INV0000071,EMP0067,Approved,2024-10-12 07:53:42.838248
INV0000072,EMP0117,Approved,2025-12-11 07:53:42.838248
INV0000073,EMP0048,Approved,2024-07-27 07:53:42.838248
INV0000074,EMP0116,Approved,2025-05-21 07:53:42.838248
INV0000075,EMP0082,Approved,2025-02-13 07:53:42.838248
INV0000076,EMP0113,Approved,2025-11-18 07:53:42.838248
INV0000077,EMP0104,Approved,2025-02-25 07:53:42.838248
INV0000078,EMP0104,Approved,2024-12-14 07:53:42.838248
INV0000079,EMP0077,Approved,2025-05-07 07:53:42.838248
INV0000080,EMP0100,Approved,2025-12-10 07:53:42.838248
INV0000081,EMP0097,Approved,2025-12-30 07:53:42.838248
INV0000082,EMP0097,Approved,2026-05-17 07:53:42.838248
INV0000083,EMP0020,Approved,2026-04-02 07:53:42.838248
INV0000084,EMP0024,Approved,2026-03-12 07:53:42.838248
INV0000085,EMP0055,Approved,2024-12-13 07:53:42.838248
INV0000086,EMP0016,Approved,2025-01-10 07:53:42.838248
INV0000087,EMP0016,Approved,2025-09-30 07:53:42.838248
INV0000088,EMP0050,Approved,2025-09-02 07:53:42.838248
INV0000089,EMP0102,Approved,2026-06-01 07:53:42.838248
INV0000090,EMP0120,Approved,2025-10-06 07:53:42.838248
INV0000091,EMP0076,Approved,2025-10-11 07:53:42.838248
INV0000092,EMP0009,Approved,2026-01-06 07:53:42.838248
INV0000093,EMP0001,Approved,2025-05-21 07:53:42.838248
INV0000094,EMP0117,Approved,2025-01-23 07:53:42.838248
INV0000095,EMP0048,Approved,2026-06-03 07:53:42.838248
INV0000096,EMP0049,Approved,2025-10-24 07:53:42.838248
INV0000097,EMP0040,Approved,2025-08-04 07:53:42.838248
INV0000098,EMP0028,Approved,2025-12-31 07:53:42.838248
INV0000099,EMP0103,Approved,2024-12-21 07:53:42.838248
INV0000100,EMP0092,Approved,2026-03-20 07:53:42.838248
INV0000101,EMP0074,Approved,2025-03-22 07:53:42.838248
INV0000102,EMP0010,Approved,2026-04-26 07:53:42.838248
INV0000103,EMP0106,Approved,2025-07-24 07:53:42.838248
INV0000104,EMP0066,Approved,2026-07-07 07:53:42.838248
INV0000105,EMP0047,Approved,2024-11-13 07:53:42.838248
INV0000106,EMP0044,Approved,2024-10-02 07:53:42.838248
INV0000107,EMP0105,Approved,2025-04-14 07:53:42.838248
INV0000108,EMP0077,Approved,2025-12-16 07:53:42.838248
INV0000109,EMP0084,Approved,2025-09-29 07:53:42.838248
INV0000110,EMP0110,Approved,2025-02-21 07:53:42.838248
INV0000111,EMP0100,Approved,2025-07-01 07:53:42.838248
INV0000112,EMP0068,Approved,2025-09-06 07:53:42.838248
INV0000113,EMP0090,Approved,2025-08-18 07:53:42.838248
INV0000114,EMP0092,Approved,2025-07-26 07:53:42.838248
INV0000115,EMP0086,Approved,2025-08-08 07:53:42.838248
INV0000116,EMP0058,Approved,2025-07-27 07:53:42.838248
INV0000117,EMP0111,Approved,2024-08-06 07:53:42.838248
INV0000118,EMP0049,Approved,2024-10-18 07:53:42.838248
INV0000119,EMP0006,Approved,2024-12-05 07:53:42.838248
INV0000120,EMP0119,Approved,2024-08-17 07:53:42.838248
INV0000121,EMP0011,Approved,2025-11-04 07:53:42.838248
INV0000122,EMP0012,Approved,2026-07-01 07:53:42.838248
INV0000123,EMP0058,Approved,2025-10-11 07:53:42.838248
INV0000124,EMP0065,Approved,2024-09-28 07:53:42.838248
INV0000125,EMP0017,Approved,2025-03-28 07:53:42.838248
INV0000126,EMP0108,Approved,2024-12-09 07:53:42.838248
INV0000127,EMP0083,Approved,2026-03-24 07:53:42.838248
INV0000128,EMP0110,Approved,2025-09-15 07:53:42.838248
INV0000129,EMP0083,Approved,2025-04-30 07:53:42.838248
INV0000130,EMP0099,Approved,2025-05-13 07:53:42.838248
INV0000131,EMP0043,Approved,2024-08-26 07:53:42.838248
INV0000132,EMP0109,Approved,2025-09-11 07:53:42.838248
INV0000133,EMP0033,Approved,2024-09-11 07:53:42.838248
INV0000134,EMP0036,Approved,2025-12-02 07:53:42.838248
INV0000135,EMP0084,Approved,2024-07-25 07:53:42.838248
INV0000136,EMP0011,Approved,2026-02-17 07:53:42.838248
INV0000137,EMP0103,Approved,2024-12-03 07:53:42.838248
INV0000138,EMP0065,Approved,2025-09-21 07:53:42.838248
INV0000139,EMP0004,Approved,2026-03-30 07:53:42.838248
INV0000140,EMP0111,Approved,2025-03-12 07:53:42.838248
INV0000141,EMP0048,Approved,2025-01-16 07:53:42.838248
INV0000142,EMP0099,Approved,2025-12-27 07:53:42.838248
INV0000143,EMP0037,Approved,2024-09-16 07:53:42.838248
INV0000144,EMP0012,Approved,2026-01-17 07:53:42.838248
INV0000145,EMP0075,Approved,2025-12-10 07:53:42.838248
INV0000146,EMP0091,Approved,2025-08-12 07:53:42.838248
INV0000147,EMP0114,Approved,2024-08-22 07:53:42.838248
INV0000148,EMP0107,Approved,2025-07-26 07:53:42.838248
INV0000149,EMP0097,Approved,2024-07-25 07:53:42.838248
INV0000150,EMP0052,Approved,2024-09-16 07:53:42.838248
INV0000151,EMP0027,Approved,2025-03-12 07:53:42.838248
INV0000152,EMP0081,Approved,2026-02-24 07:53:42.838248
INV0000153,EMP0031,Approved,2024-11-22 07:53:42.838248
INV0000154,EMP0031,Approved,2025-07-04 07:53:42.838248
INV0000155,EMP0052,Approved,2025-06-20 07:53:42.838248
INV0000156,EMP0079,Approved,2026-06-10 07:53:42.838248
INV0000157,EMP0016,Approved,2026-06-21 07:53:42.838248
INV0000158,EMP0075,Approved,2026-04-16 07:53:42.838248
INV0000159,EMP0057,Approved,2024-11-24 07:53:42.838248
INV0000160,EMP0069,Approved,2025-10-20 07:53:42.838248
INV0000161,EMP0058,Approved,2025-05-05 07:53:42.838248
INV0000162,EMP0039,Approved,2024-08-22 07:53:42.838248
INV0000163,EMP0107,Approved,2024-08-20 07:53:42.838248
INV0000164,EMP0038,Approved,2025-05-22 07:53:42.838248
INV0000165,EMP0060,Approved,2025-08-20 07:53:42.838248
INV0000166,EMP0109,Approved,2025-11-05 07:53:42.838248
INV0000167,EMP0040,Approved,2024-08-15 07:53:42.838248
INV0000168,EMP0067,Approved,2025-04-27 07:53:42.838248
INV0000169,EMP0075,Approved,2024-08-26 07:53:42.838248
INV0000170,EMP0068,Approved,2025-04-14 07:53:42.838248
INV0000171,EMP0025,Approved,2025-07-20 07:53:42.838248
INV0000172,EMP0012,Approved,2025-08-22 07:53:42.838248
INV0000173,EMP0117,Approved,2025-08-08 07:53:42.838248
INV0000174,EMP0013,Approved,2025-01-16 07:53:42.838248
INV0000175,EMP0040,Approved,2026-06-17 07:53:42.838248
INV0000176,EMP0027,Approved,2025-07-20 07:53:42.838248
INV0000177,EMP0078,Approved,2025-04-08 07:53:42.838248
INV0000178,EMP0034,Approved,2025-09-16 07:53:42.838248
INV0000179,EMP0097,Approved,2025-09-22 07:53:42.838248
INV0000180,EMP0096,Approved,2026-01-18 07:53:42.838248
INV0000181,EMP0103,Approved,2025-06-02 07:53:42.838248
INV0000182,EMP0088,Approved,2024-09-28 07:53:42.838248
INV0000183,EMP0046,Approved,2026-05-16 07:53:42.838248
INV0000184,EMP0006,Approved,2025-05-18 07:53:42.838248
INV0000185,EMP0003,Approved,2026-03-18 07:53:42.838248
INV0000186,EMP0025,Approved,2024-12-26 07:53:42.838248
INV0000187,EMP0078,Approved,2025-07-03 07:53:42.838248
INV0000188,EMP0105,Approved,2024-08-21 07:53:42.838248
INV0000189,EMP0082,Approved,2026-03-30 07:53:42.838248
INV0000190,EMP0080,Approved,2025-04-16 07:53:42.838248
INV0000191,EMP0118,Approved,2024-09-23 07:53:42.838248
INV0000192,EMP0058,Approved,2025-07-16 07:53:42.838248
INV0000193,EMP0012,Approved,2026-06-04 07:53:42.838248
INV0000194,EMP0040,Approved,2024-08-09 07:53:42.838248
INV0000195,EMP0096,Approved,2026-03-23 07:53:42.838248
INV0000196,EMP0020,Approved,2024-08-13 07:53:42.838248
INV0000197,EMP0063,Approved,2024-09-15 07:53:42.838248
INV0000198,EMP0074,Approved,2026-04-30 07:53:42.838248
INV0000199,EMP0055,Approved,2025-07-14 07:53:42.838248
INV0000200,EMP0052,Approved,2026-02-09 07:53:42.838248
INV0000201,EMP0095,Approved,2026-03-20 07:53:42.838248
INV0000202,EMP0113,Approved,2026-06-04 07:53:42.838248
INV0000203,EMP0021,Approved,2025-07-23 07:53:42.838248
INV0000204,EMP0053,Approved,2025-10-06 07:53:42.838248
INV0000205,EMP0066,Approved,2026-02-16 07:53:42.838248
INV0000206,EMP0074,Approved,2026-01-02 07:53:42.838248
INV0000207,EMP0109,Approved,2025-08-20 07:53:42.838248
INV0000208,EMP0049,Approved,2026-05-05 07:53:42.838248
INV0000209,EMP0094,Approved,2025-03-21 07:53:42.838248
INV0000210,EMP0112,Approved,2024-08-04 07:53:42.838248
INV0000211,EMP0020,Approved,2025-12-02 07:53:42.838248
INV0000212,EMP0067,Approved,2025-08-09 07:53:42.838248
INV0000213,EMP0009,Approved,2025-04-03 07:53:42.838248
INV0000214,EMP0108,Approved,2026-06-29 07:53:42.838248
INV0000215,EMP0050,Approved,2025-02-13 07:53:42.838248
INV0000216,EMP0106,Approved,2026-06-19 07:53:42.838248
INV0000217,EMP0055,Approved,2025-01-29 07:53:42.838248
INV0000218,EMP0081,Approved,2024-11-24 07:53:42.838248
INV0000219,EMP0086,Approved,2025-10-14 07:53:42.838248
INV0000220,EMP0116,Approved,2026-07-09 07:53:42.838248
INV0000221,EMP0115,Approved,2024-10-06 07:53:42.838248
INV0000222,EMP0013,Approved,2026-05-23 07:53:42.838248
INV0000223,EMP0002,Approved,2026-07-05 07:53:42.838248
INV0000224,EMP0084,Approved,2026-01-23 07:53:42.838248
INV0000225,EMP0084,Approved,2025-05-02 07:53:42.838248
INV0000226,EMP0094,Approved,2024-12-17 07:53:42.838248
INV0000227,EMP0015,Approved,2025-07-14 07:53:42.838248
INV0000228,EMP0008,Approved,2025-02-23 07:53:42.838248
INV0000229,EMP0118,Approved,2025-01-30 07:53:42.838248
INV0000230,EMP0106,Approved,2025-03-08 07:53:42.838248
INV0000231,EMP0068,Approved,2024-08-04 07:53:42.838248
INV0000232,EMP0042,Approved,2026-01-27 07:53:42.838248
INV0000233,EMP0066,Approved,2025-10-30 07:53:42.838248
INV0000234,EMP0108,Approved,2024-11-18 07:53:42.838248
INV0000235,EMP0024,Approved,2024-09-14 07:53:42.838248
INV0000236,EMP0073,Approved,2025-08-20 07:53:42.838248
INV0000237,EMP0096,Approved,2025-12-29 07:53:42.838248
INV0000238,EMP0059,Approved,2025-09-01 07:53:42.838248
INV0000239,EMP0054,Approved,2024-11-14 07:53:42.838248
INV0000240,EMP0105,Approved,2026-04-27 07:53:42.838248
INV0000241,EMP0113,Approved,2025-10-12 07:53:42.838248
INV0000242,EMP0031,Approved,2026-06-05 07:53:42.838248
INV0000243,EMP0070,Approved,2025-06-26 07:53:42.838248
INV0000244,EMP0018,Approved,2026-01-24 07:53:42.838248
INV0000245,EMP0014,Approved,2024-11-18 07:53:42.838248
INV0000246,EMP0017,Approved,2025-12-05 07:53:42.838248
INV0000247,EMP0055,Approved,2024-11-13 07:53:42.838248
INV0000248,EMP0030,Approved,2024-12-12 07:53:42.838248
INV0000249,EMP0004,Approved,2024-12-24 07:53:42.838248
INV0000250,EMP0041,Approved,2025-06-04 07:53:42.838248
INV0000251,EMP0036,Approved,2025-06-28 07:53:42.838248
INV0000252,EMP0041,Approved,2025-04-25 07:53:42.838248
INV0000253,EMP0061,Approved,2025-03-22 07:53:42.838248
INV0000254,EMP0015,Approved,2026-04-20 07:53:42.838248
INV0000255,EMP0049,Approved,2025-04-16 07:53:42.838248
INV0000256,EMP0091,Approved,2026-04-10 07:53:42.838248
INV0000257,EMP0031,Approved,2026-03-30 07:53:42.838248
INV0000258,EMP0009,Approved,2024-10-12 07:53:42.838248
INV0000259,EMP0013,Approved,2026-04-26 07:53:42.838248
INV0000260,EMP0051,Approved,2026-03-07 07:53:42.838248
INV0000261,EMP0005,Approved,2024-12-31 07:53:42.838248
INV0000262,EMP0087,Approved,2026-02-06 07:53:42.838248
INV0000263,EMP0023,Approved,2024-08-07 07:53:42.838248
INV0000264,EMP0029,Approved,2024-08-24 07:53:42.838248
INV0000265,EMP0085,Approved,2026-05-06 07:53:42.838248
INV0000266,EMP0057,Approved,2026-02-14 07:53:42.838248
INV0000267,EMP0057,Approved,2026-04-02 07:53:42.838248
INV0000268,EMP0026,Approved,2025-11-30 07:53:42.838248
INV0000269,EMP0037,Approved,2025-05-01 07:53:42.838248
INV0000270,EMP0017,Approved,2025-11-15 07:53:42.838248
INV0000271,EMP0112,Approved,2026-06-10 07:53:42.838248
INV0000272,EMP0092,Approved,2025-05-09 07:53:42.838248
INV0000273,EMP0082,Approved,2024-09-21 07:53:42.838248
INV0000274,EMP0024,Approved,2024-12-17 07:53:42.838248
INV0000275,EMP0070,Approved,2025-09-07 07:53:42.838248
INV0000276,EMP0090,Approved,2025-10-27 07:53:42.838248
INV0000277,EMP0112,Approved,2025-06-22 07:53:42.838248
INV0000278,EMP0052,Approved,2025-05-25 07:53:42.838248
INV0000279,EMP0070,Approved,2025-06-27 07:53:42.838248
INV0000280,EMP0084,Approved,2024-11-19 07:53:42.838248
INV0000281,EMP0117,Approved,2025-12-18 07:53:42.838248
INV0000282,EMP0089,Approved,2025-05-31 07:53:42.838248
INV0000283,EMP0060,Approved,2025-10-29 07:53:42.838248
INV0000284,EMP0008,Approved,2025-04-08 07:53:42.838248
INV0000285,EMP0024,Approved,2025-03-19 07:53:42.838248
INV0000286,EMP0050,Approved,2024-10-16 07:53:42.838248
INV0000287,EMP0002,Approved,2025-05-02 07:53:42.838248
INV0000288,EMP0040,Approved,2026-03-31 07:53:42.838248
INV0000289,EMP0092,Approved,2025-03-20 07:53:42.838248
INV0000290,EMP0011,Approved,2025-06-09 07:53:42.838248
INV0000291,EMP0020,Approved,2025-01-19 07:53:42.838248
INV0000292,EMP0117,Approved,2025-12-01 07:53:42.838248
INV0000293,EMP0035,Approved,2025-10-30 07:53:42.838248
INV0000294,EMP0020,Approved,2025-05-20 07:53:42.838248
INV0000295,EMP0001,Approved,2024-08-01 07:53:42.838248
INV0000296,EMP0030,Approved,2025-08-15 07:53:42.838248
INV0000297,EMP0112,Approved,2025-10-20 07:53:42.838248
INV0000298,EMP0049,Approved,2025-02-14 07:53:42.838248
INV0000299,EMP0114,Approved,2024-08-27 07:53:42.838248
INV0000300,EMP0040,Approved,2025-04-23 07:53:42.838248
INV0000301,EMP0054,Approved,2026-03-12 07:53:42.838248
INV0000302,EMP0040,Approved,2025-04-27 07:53:42.838248
INV0000303,EMP0039,Approved,2024-07-17 07:53:42.838248
INV0000304,EMP0032,Approved,2025-09-23 07:53:42.838248
INV0000305,EMP0069,Approved,2025-04-05 07:53:42.838248
INV0000306,EMP0016,Approved,2025-08-25 07:53:42.838248
INV0000307,EMP0105,Approved,2024-08-24 07:53:42.838248
INV0000308,EMP0118,Approved,2024-08-30 07:53:42.838248
INV0000309,EMP0011,Approved,2025-07-15 07:53:42.838248
INV0000310,EMP0075,Approved,2024-09-22 07:53:42.838248
INV0000311,EMP0026,Approved,2025-12-07 07:53:42.838248
INV0000312,EMP0113,Approved,2026-01-23 07:53:42.838248
INV0000313,EMP0120,Approved,2026-04-08 07:53:42.838248
INV0000314,EMP0050,Approved,2024-11-17 07:53:42.838248
INV0000315,EMP0001,Approved,2025-08-16 07:53:42.838248
INV0000316,EMP0080,Approved,2025-06-21 07:53:42.838248
INV0000317,EMP0003,Approved,2024-12-03 07:53:42.838248
INV0000318,EMP0062,Approved,2026-03-17 07:53:42.838248
INV0000319,EMP0104,Approved,2025-08-24 07:53:42.838248
INV0000320,EMP0094,Approved,2024-08-19 07:53:42.838248
INV0000321,EMP0102,Approved,2024-08-17 07:53:42.838248
INV0000322,EMP0117,Approved,2026-07-09 07:53:42.838248
INV0000323,EMP0015,Approved,2025-11-06 07:53:42.838248
INV0000324,EMP0048,Approved,2025-10-19 07:53:42.838248
INV0000325,EMP0076,Approved,2026-03-21 07:53:42.838248
INV0000326,EMP0101,Approved,2024-11-29 07:53:42.838248
INV0000327,EMP0050,Approved,2026-03-28 07:53:42.838248
INV0000328,EMP0033,Approved,2024-12-22 07:53:42.838248
INV0000329,EMP0028,Approved,2026-04-01 07:53:42.838248
INV0000330,EMP0082,Approved,2026-03-08 07:53:42.838248
INV0000331,EMP0083,Approved,2025-12-10 07:53:42.838248
INV0000332,EMP0070,Approved,2026-01-05 07:53:42.838248
INV0000333,EMP0059,Approved,2026-07-04 07:53:42.838248
INV0000334,EMP0052,Approved,2025-11-07 07:53:42.838248
INV0000335,EMP0035,Approved,2025-07-21 07:53:42.838248
INV0000336,EMP0007,Approved,2026-05-29 07:53:42.838248
INV0000337,EMP0012,Approved,2025-09-08 07:53:42.838248
INV0000338,EMP0088,Approved,2026-06-13 07:53:42.838248
INV0000339,EMP0099,Approved,2026-03-12 07:53:42.838248
INV0000340,EMP0024,Approved,2025-04-06 07:53:42.838248
INV0000341,EMP0054,Approved,2024-08-30 07:53:42.838248
INV0000342,EMP0056,Approved,2024-12-30 07:53:42.838248
INV0000343,EMP0061,Approved,2026-04-14 07:53:42.838248
INV0000344,EMP0045,Approved,2024-12-07 07:53:42.838248
INV0000345,EMP0050,Approved,2024-08-10 07:53:42.838248
INV0000346,EMP0094,Approved,2025-01-20 07:53:42.838248
INV0000347,EMP0017,Approved,2025-10-03 07:53:42.838248
INV0000348,EMP0074,Approved,2025-09-10 07:53:42.838248
INV0000349,EMP0107,Approved,2025-09-04 07:53:42.838248
INV0000350,EMP0016,Approved,2025-09-02 07:53:42.838248
INV0000351,EMP0025,Approved,2026-03-27 07:53:42.838248
INV0000352,EMP0058,Approved,2024-09-10 07:53:42.838248
INV0000353,EMP0048,Approved,2025-12-22 07:53:42.838248
INV0000354,EMP0032,Approved,2026-02-03 07:53:42.838248
INV0000355,EMP0019,Approved,2026-05-18 07:53:42.838248
INV0000356,EMP0085,Approved,2025-12-29 07:53:42.838248
INV0000357,EMP0023,Approved,2025-05-26 07:53:42.838248
INV0000358,EMP0014,Approved,2025-10-22 07:53:42.838248
INV0000359,EMP0009,Approved,2025-06-24 07:53:42.838248
INV0000360,EMP0075,Approved,2025-07-06 07:53:42.838248
INV0000361,EMP0057,Approved,2026-03-25 07:53:42.838248
INV0000362,EMP0099,Approved,2025-01-21 07:53:42.838248
INV0000363,EMP0098,Approved,2025-04-20 07:53:42.838248
INV0000364,EMP0027,Approved,2025-02-24 07:53:42.838248
INV0000365,EMP0021,Approved,2025-04-30 07:53:42.838248
INV0000366,EMP0117,Approved,2026-06-15 07:53:42.838248
INV0000367,EMP0060,Approved,2025-05-29 07:53:42.838248
INV0000368,EMP0040,Approved,2025-07-01 07:53:42.838248
INV0000369,EMP0016,Approved,2025-04-29 07:53:42.838248
INV0000370,EMP0054,Approved,2026-02-16 07:53:42.838248
INV0000371,EMP0066,Approved,2025-08-01 07:53:42.838248
INV0000372,EMP0001,Approved,2025-06-27 07:53:42.838248
INV0000373,EMP0067,Approved,2025-05-02 07:53:42.838248
INV0000374,EMP0059,Approved,2025-04-29 07:53:42.838248
INV0000375,EMP0103,Approved,2025-06-28 07:53:42.838248
INV0000376,EMP0075,Approved,2026-05-11 07:53:42.838248
INV0000377,EMP0070,Approved,2025-11-11 07:53:42.838248
INV0000378,EMP0027,Approved,2025-01-31 07:53:42.838248
INV0000379,EMP0068,Approved,2025-04-12 07:53:42.838248
INV0000380,EMP0071,Approved,2024-11-26 07:53:42.838248
INV0000381,EMP0035,Approved,2026-03-31 07:53:42.838248
INV0000382,EMP0100,Approved,2025-03-14 07:53:42.838248
INV0000383,EMP0039,Approved,2026-05-25 07:53:42.838248
INV0000384,EMP0008,Approved,2025-02-25 07:53:42.838248
INV0000385,EMP0067,Approved,2024-08-31 07:53:42.838248
INV0000386,EMP0015,Approved,2025-09-05 07:53:42.838248
INV0000387,EMP0068,Approved,2025-11-04 07:53:42.838248
INV0000388,EMP0089,Approved,2026-06-06 07:53:42.838248
INV0000389,EMP0085,Approved,2024-07-14 07:53:42.838248
INV0000390,EMP0050,Approved,2024-12-17 07:53:42.838248
INV0000391,EMP0051,Approved,2026-05-08 07:53:42.838248
INV0000392,EMP0037,Approved,2025-11-09 07:53:42.838248
INV0000393,EMP0042,Approved,2025-04-29 07:53:42.838248
INV0000394,EMP0114,Approved,2025-04-27 07:53:42.838248
INV0000395,EMP0033,Approved,2024-10-08 07:53:42.838248
INV0000396,EMP0074,Approved,2026-01-07 07:53:42.838248
INV0000397,EMP0014,Approved,2025-01-04 07:53:42.838248
INV0000398,EMP0114,Approved,2025-01-05 07:53:42.838248
INV0000399,EMP0115,Approved,2025-08-19 07:53:42.838248
INV0000400,EMP0042,Approved,2025-01-15 07:53:42.838248
INV0000401,EMP0057,Approved,2024-08-16 07:53:42.838248
INV0000402,EMP0053,Approved,2025-05-10 07:53:42.838248
INV0000403,EMP0046,Approved,2025-06-17 07:53:42.838248
INV0000404,EMP0023,Approved,2025-10-17 07:53:42.838248
INV0000405,EMP0035,Approved,2025-12-27 07:53:42.838248
INV0000406,EMP0042,Approved,2024-11-23 07:53:42.838248
INV0000407,EMP0034,Approved,2025-10-31 07:53:42.838248
INV0000408,EMP0115,Approved,2025-01-22 07:53:42.838248
INV0000409,EMP0085,Approved,2025-06-12 07:53:42.838248
INV0000410,EMP0092,Approved,2025-10-21 07:53:42.838248
INV0000411,EMP0007,Approved,2025-01-15 07:53:42.838248
INV0000412,EMP0056,Approved,2025-06-19 07:53:42.838248
INV0000413,EMP0111,Approved,2026-02-10 07:53:42.838248
INV0000414,EMP0113,Approved,2025-01-04 07:53:42.838248
INV0000415,EMP0062,Approved,2025-09-19 07:53:42.838248
INV0000416,EMP0114,Approved,2025-06-09 07:53:42.838248
INV0000417,EMP0075,Approved,2025-08-23 07:53:42.838248
INV0000418,EMP0067,Approved,2025-01-14 07:53:42.838248
INV0000419,EMP0038,Approved,2025-11-09 07:53:42.838248
INV0000420,EMP0061,Approved,2025-03-20 07:53:42.838248
INV0000421,EMP0020,Approved,2025-04-02 07:53:42.838248
INV0000422,EMP0032,Approved,2025-03-07 07:53:42.838248
INV0000423,EMP0001,Approved,2025-04-08 07:53:42.838248
INV0000424,EMP0050,Approved,2025-05-14 07:53:42.838248
INV0000425,EMP0002,Approved,2025-04-02 07:53:42.838248
INV0000426,EMP0099,Approved,2026-06-18 07:53:42.838248
INV0000427,EMP0013,Approved,2024-09-10 07:53:42.838248
INV0000428,EMP0003,Approved,2025-10-28 07:53:42.838248
INV0000429,EMP0008,Approved,2024-12-19 07:53:42.838248
INV0000430,EMP0004,Approved,2026-06-11 07:53:42.838248
INV0000431,EMP0049,Approved,2026-06-29 07:53:42.838248
INV0000432,EMP0035,Approved,2026-06-15 07:53:42.838248
INV0000433,EMP0095,Approved,2026-04-24 07:53:42.838248
INV0000434,EMP0109,Approved,2025-07-20 07:53:42.838248
INV0000435,EMP0016,Approved,2025-02-18 07:53:42.838248
INV0000436,EMP0032,Approved,2025-11-10 07:53:42.838248
