payment_id,invoice_id,payment_amount,payment_date
575c43c8-a3f,INV0000034,19725,2025-07-22 07:53:42.838248
6796d065-dbf,INV0000035,137995,2024-10-05 07:53:42.838248
fa6cfbc6-bda,INV0000036,86371,2025-11-13 07:53:42.838248
c5b24f64-f1b,INV0000037,123466,2024-08-24 07:53:42.838248
f58ca56c-9bf,INV0000038,19913,2025-09-02 07:53:42.838248
d597361f-599,INV0000039,80255,2024-10-26 07:53:42.838248
4f2f827e-ab1,INV0000040,28670,2026-04-02 07:53:42.838248
68db5a18-549,INV0000041,137924,2025-09-07 07:53:42.838248
0329b856-f5b,INV0000042,126297,2026-03-04 07:53:42.838248
4cd38746-0e4,INV0000043,15753,2025-10-24 07:53:42.838248
c44af5f5-6f4,INV0000044,54345,2025-07-07 07:53:42.838248
1ed9c0ba-481,INV0000045,129683,2026-01-08 07:53:42.838248
46916a2f-b74,INV0000046,44547,2024-10-14 07:53:42.838248
73418481-14a,INV0000047,123101,2024-12-02 07:53:42.838248
37ce3299-d08,INV0000048,95030,2024-11-01 07:53:42.838248
22ead792-27f,INV0000049,137264,2026-05-19 07:53:42.838248
1be3d60f-ed8,INV0000050,50235,2024-09-05 07:53:42.838248
14514410-95f,INV0000051,69944,2026-08-07 07:53:42.838248
ba312119-558,INV0000052,119755,2025-11-04 07:53:42.838248
b318ec48-133,INV0000053,142381,2026-02-06 07:53:42.838248
1bed1945-d43,INV0000054,46614,2025-07-21 07:53:42.838248
487f3b15-772,INV0000055,102740,2025-05-29 07:53:42.838248
29d3a749-c82,INV0000056,106558,2025-09-07 07:53:42.838248
24ea6d4d-bc0,INV0000057,93700,2026-06-19 07:53:42.838248
44428af7-7bc,INV0000058,18727,2026-04-30 07:53:42.838248
e679bef0-8e1,INV0000059,92726,2024-09-28 07:53:42.838248
c7a9ba54-abe,INV0000060,91426,2024-10-19 07:53:42.838248
6e0ccd92-529,INV0000061,106335,2025-05-30 07:53:42.838248
32099b32-0a9,INV0000062,71059,2026-05-24 07:53:42.838248
cc26932e-36c,INV0000063,44419,2025-06-29 07:53:42.838248
78988868-277,INV0000064,26365,2026-03-03 07:53:42.838248
ba3d91f1-cb6,INV0000065,42074,2025-07-24 07:53:42.838248
862b46f3-ff1,INV0000066,86325,2026-06-01 07:53:42.838248
20672c07-295,INV0000067,107749,2024-12-24 07:53:42.838248
eca5faf4-7ca,INV0000068,27208,2025-06-12 07:53:42.838248
021c4088-156,INV0000069,103744,2026-05-16 07:53:42.838248
d2b459fe-71a,INV0000070,91108,2024-12-09 07:53:42.838248
31c84329-2ad,INV0000071,142990,2024-10-22 07:53:42.838248
bd96001d-477,INV0000072,115993,2026-01-21 07:53:42.838248
24b55c75-0a8,INV0000073,99851,2024-08-30 07:53:42.838248
aa0672da-06b,INV0000074,100052,2025-06-25 07:53:42.838248
7dd057b5-1a5,INV0000075,52254,2025-03-23 07:53:42.838248
d89d421b-718,INV0000076,94583,2025-11-27 07:53:42.838248
86342476-3c5,INV0000077,55333,2025-03-26 07:53:42.838248
25466812-f86,INV0000078,41061,2025-01-02 07:53:42.838248
2a9376a5-dd2,INV0000079,25228,2025-06-16 07:53:42.838248
c8bc6911-00d,INV0000080,31513,2026-01-04 07:53:42.838248
b208316e-d3a,INV0000081,146497,2026-02-01 07:53:42.838248
0396006a-783,INV0000082,14895,2026-05-27 07:53:42.838248
e444f6ec-ff9,INV0000083,93280,2026-04-07 07:53:42.838248
ee9a26d1-d84,INV0000084,39353,2026-04-02 07:53:42.838248
d0f4c68a-2bc,INV0000085,103754,2024-12-25 07:53:42.838248
3a1961b2-ecf,INV0000086,47532,2025-02-03 07:53:42.838248
64109d9b-f4c,INV0000087,48395,2025-11-11 07:53:42.838248
f6880088-89c,INV0000088,16453,2025-10-12 07:53:42.838248
3a45eae1-858,INV0000089,100498,2026-06-05 07:53:42.838248
c07381bb-a54,INV0000090,67267,2025-10-09 07:53:42.838248
dcf055ec-20f,INV0000091,79692,2025-11-23 07:53:42.838248
8c86d121-e7f,INV0000092,66342,2026-01-20 07:53:42.838248
16bfc78f-119,INV0000093,67696,2025-06-25 07:53:42.838248
910ce7a4-945,INV0000094,127949,2025-02-13 07:53:42.838248
9e4618d3-006,INV0000095,101427,2026-06-16 07:53:42.838248
9722df7d-ad6,INV0000096,120499,2025-11-04 07:53:42.838248
e77c234a-ab0,INV0000097,78864,2025-08-24 07:53:42.838248
253944a9-5a9,INV0000098,136833,2026-01-09 07:53:42.838248
6deb08b5-71d,INV0000099,114749,2025-01-24 07:53:42.838248
c3ec27ab-29b,INV0000100,57349,2026-03-25 07:53:42.838248
f077805d-d7d,INV0000101,41280,2025-04-01 07:53:42.838248
4fd3ad87-4da,INV0000102,18678,2026-06-02 07:53:42.838248
fa78765b-2b0,INV0000103,130983,2025-08-10 07:53:42.838248
5759e060-608,INV0000104,31893,2026-08-19 07:53:42.838248
494590d5-1a4,INV0000105,140242,2024-11-22 07:53:42.838248
f9ab88bb-377,INV0000106,79727,2024-10-20 07:53:42.838248
094aaddc-9f5,INV0000107,47024,2025-05-18 07:53:42.838248
51fe1c5f-27c,INV0000108,122786,2026-01-19 07:53:42.838248
4732d5b1-7eb,INV0000109,43626,2025-10-19 07:53:42.838248
8ff600af-93a,INV0000110,29042,2025-03-09 07:53:42.838248
dec63bf9-dfd,INV0000111,123260,2025-07-20 07:53:42.838248
83ec9e29-8ef,INV0000112,11991,2025-09-11 07:53:42.838248
5ed21347-1e1,INV0000113,18960,2025-09-04 07:53:42.838248
2f5dac38-f31,INV0000114,136598,2025-08-01 07:53:42.838248
c88ab2fb-fcd,INV0000115,66807,2025-09-01 07:53:42.838248
31b5ce8b-1b6,INV0000116,26392,2025-08-29 07:53:42.838248
9ecaeed2-f5d,INV0000117,63861,2024-09-14 07:53:42.838248
e20762cb-0ff,INV0000118,88541,2024-10-31 07:53:42.838248
76db5415-73e,INV0000119,92894,2024-12-29 07:53:42.838248
cec8cd26-87e,INV0000120,41070,2024-09-29 07:53:42.838248
30052d81-9b4,INV0000121,80203,2025-11-12 07:53:42.838248
fb8f99bc-fa8,INV0000122,41383,2026-08-04 07:53:42.838248
60a364f3-436,INV0000123,127974,2025-10-28 07:53:42.838248
25a18093-ce7,INV0000124,6376,2024-10-15 07:53:42.838248
7b7c08b3-04b,INV0000125,9981,2025-04-15 07:53:42.838248
3fa5a829-12a,INV0000126,61532,2025-01-03 07:53:42.838248
93b1cba1-41a,INV0000127,148865,2026-04-29 07:53:42.838248
c62c467d-2dc,INV0000128,143352,2025-09-25 07:53:42.838248
dc740fa8-68b,INV0000129,34146,2025-05-17 07:53:42.838248
ee45caf0-2c3,INV0000130,67295,2025-06-11 07:53:42.838248
a6981431-439,INV0000131,36941,2024-09-30 07:53:42.838248
3b0a3926-0ff,INV0000132,67505,2025-09-24 07:53:42.838248
bc52f251-39f,INV0000133,124829,2024-09-24 07:53:42.838248
3dd0388d-fbe,INV0000134,34060,2025-12-08 07:53:42.838248
bcb9724f-86f,INV0000135,145523,2024-08-02 07:53:42.838248
575feac8-27b,INV0000136,140102,2026-04-01 07:53:42.838248
64c94759-2b2,INV0000137,68422,2024-12-27 07:53:42.838248
fd10a52f-4fc,INV0000138,81355,2025-10-03 07:53:42.838248
4df6567c-336,INV0000139,5410,2026-05-11 07:53:42.838248
160d8dee-cbb,INV0000140,97488,2025-04-15 07:53:42.838248
3df8774b-6e6,INV0000141,114200,2025-02-27 07:53:42.838248
1071e794-fae,INV0000142,27443,2026-01-25 07:53:42.838248
1df9ebe1-1b0,INV0000143,99530,2024-10-24 07:53:42.838248
02050968-210,INV0000144,142903,2026-02-12 07:53:42.838248
a6fabef2-ff1,INV0000145,137992,2025-12-31 07:53:42.838248
838c8bf3-6d9,INV0000146,10330,2025-09-09 07:53:42.838248
06388d8d-34e,INV0000147,128243,2024-09-05 07:53:42.838248
4d49af45-e11,INV0000148,106418,2025-08-03 07:53:42.838248
e94db1c5-7d7,INV0000149,71492,2024-08-02 07:53:42.838248
50868093-298,INV0000150,98610,2024-10-13 07:53:42.838248
db404fee-ac2,INV0000151,95387,2025-04-12 07:53:42.838248
b0cc305b-4f7,INV0000152,32174,2026-02-27 07:53:42.838248
08ab89ee-b42,INV0000153,92167,2025-01-04 07:53:42.838248
62d13e36-8df,INV0000154,16622,2025-07-10 07:53:42.838248
2891d48c-bf3,INV0000155,148134,2025-07-19 07:53:42.838248
0ff3b5a4-930,INV0000156,50898,2026-06-23 07:53:42.838248
147bb9bd-da4,INV0000157,126798,2026-06-26 07:53:42.838248
0215e881-e33,INV0000158,130444,2026-05-21 07:53:42.838248
65ecaf92-c30,INV0000159,52783,2024-12-05 07:53:42.838248
e95a1bc9-38d,INV0000160,21541,2025-10-29 07:53:42.838248
145c8919-a68,INV0000161,14695,2025-05-16 07:53:42.838248
68ad55af-59d,INV0000162,57845,2024-09-11 07:53:42.838248
d884cd70-670,INV0000163,57289,2024-08-23 07:53:42.838248
28c923ac-b3e,INV0000164,87731,2025-06-23 07:53:42.838248
131b016a-ce0,INV0000165,140104,2025-09-16 07:53:42.838248
d66ad6c7-ea6,INV0000166,147352,2025-12-05 07:53:42.838248
280795be-269,INV0000167,71404,2024-09-05 07:53:42.838248
c6f347c1-2bb,INV0000168,55096,2025-06-09 07:53:42.838248
8c0490f0-db3,INV0000169,98578,2024-10-08 07:53:42.838248
830d68d3-974,INV0000170,92012,2025-05-08 07:53:42.838248
2ec49851-88e,INV0000171,37630,2025-08-05 07:53:42.838248
a8816a92-3dd,INV0000172,119544,2025-09-18 07:53:42.838248
2c33497b-cc9,INV0000173,120274,2025-08-20 07:53:42.838248
5ec4e8cf-8f1,INV0000174,93876,2025-02-24 07:53:42.838248
78b7f3d5-3a7,INV0000175,135076,2026-06-28 07:53:42.838248
bbfbc7ec-551,INV0000176,135422,2025-07-30 07:53:42.838248
d41ea3c1-9b0,INV0000177,141125,2025-04-26 07:53:42.838248
b638b43b-327,INV0000178,26656,2025-10-10 07:53:42.838248
ec647850-463,INV0000179,25690,2025-09-27 07:53:42.838248
456bdace-a0f,INV0000180,52305,2026-03-02 07:53:42.838248
49090516-ab7,INV0000181,82009,2025-06-11 07:53:42.838248
0e74b6cf-b26,INV0000182,31895,2024-10-07 07:53:42.838248
1043acec-8fb,INV0000183,90962,2026-06-03 07:53:42.838248
4810ae91-e35,INV0000184,82500,2025-06-07 07:53:42.838248
ab65ad43-ea6,INV0000185,121894,2026-04-06 07:53:42.838248
8b1bbde3-a11,INV0000186,116703,2025-02-05 07:53:42.838248
1e0932db-d08,INV0000187,121367,2025-07-30 07:53:42.838248
76cb6460-d1c,INV0000188,122212,2024-09-27 07:53:42.838248
6d260dc9-cda,INV0000189,97421,2026-05-09 07:53:42.838248
d3243525-55b,INV0000190,119017,2025-05-09 07:53:42.838248
f1203e42-6a9,INV0000191,20036,2024-09-27 07:53:42.838248
07049759-29a,INV0000192,111485,2025-08-25 07:53:42.838248
6bda0a78-918,INV0000193,139502,2026-06-15 07:53:42.838248
9eabb890-db7,INV0000194,46939,2024-09-17 07:53:42.838248
25a8f9a4-3f1,INV0000195,42428,2026-03-31 07:53:42.838248
5158b64d-9fe,INV0000196,119864,2024-09-18 07:53:42.838248
c4503f7e-d92,INV0000197,38090,2024-10-06 07:53:42.838248
12046620-267,INV0000198,66864,2026-06-04 07:53:42.838248
d036fff1-d26,INV0000199,101030,2025-08-23 07:53:42.838248
233d2746-1d9,INV0000200,105362,2026-03-21 07:53:42.838248
c7f6b6cf-14c,INV0000201,13489,2026-04-08 07:53:42.838248
3d397e29-915,INV0000202,45222,2026-06-29 07:53:42.838248
36ea598a-d98,INV0000203,122944,2025-08-12 07:53:42.838248
a91c23b0-ea1,INV0000204,102521,2025-11-15 07:53:42.838248
0f33c067-be8,INV0000205,25155,2026-03-08 07:53:42.838248
0e73e392-80f,INV0000206,41095,2026-02-12 07:53:42.838248
2c028b1b-442,INV0000207,101193,2025-09-20 07:53:42.838248
2475295c-cbe,INV0000208,87414,2026-05-17 07:53:42.838248
84b4cbf6-509,INV0000209,78056,2025-04-15 07:53:42.838248
7f2f90b4-1eb,INV0000210,34739,2024-08-25 07:53:42.838248
c38bfaab-f92,INV0000211,53771,2026-01-03 07:53:42.838248
fd4cd545-7a5,INV0000212,140723,2025-08-21 07:53:42.838248
bcfaf246-9b4,INV0000213,35870,2025-04-09 07:53:42.838248
b6b04886-5b9,INV0000214,73233,2026-07-20 07:53:42.838248
0b0c54bc-76d,INV0000215,121987,2025-03-19 07:53:42.838248
375f6d12-346,INV0000216,79862,2026-07-08 07:53:42.838248
bc232770-73e,INV0000217,133765,2025-02-20 07:53:42.838248
0ed3b522-c3d,INV0000218,37148,2024-12-05 07:53:42.838248
2a3c2bd8-bbd,INV0000219,24412,2025-10-23 07:53:42.838248
71bb9fdb-eda,INV0000220,50260,2026-08-09 07:53:42.838248
45882e72-2e2,INV0000221,121683,2024-11-01 07:53:42.838248
4f09e55b-5d1,INV0000222,88778,2026-06-21 07:53:42.838248
0f83d915-e60,INV0000223,96075,2026-07-22 07:53:42.838248
2377eae3-b44,INV0000224,22023,2026-03-03 07:53:42.838248
28810081-6b2,INV0000225,147126,2025-05-21 07:53:42.838248
fe858aaa-d71,INV0000226,83631,2025-01-26 07:53:42.838248
3597fd33-cd3,INV0000227,50636,2025-07-17 07:53:42.838248
755f87a4-af1,INV0000228,138367,2025-03-14 07:53:42.838248
80314f8a-02c,INV0000229,36814,2025-02-26 07:53:42.838248
dd72246d-20f,INV0000230,41405,2025-03-31 07:53:42.838248
b5e9d100-7d1,INV0000231,134504,2024-08-13 07:53:42.838248
885b3678-48e,INV0000232,99606,2026-02-17 07:53:42.838248
cc4ed132-808,INV0000233,101707,2025-11-21 07:53:42.838248
b6ad4517-677,INV0000234,149610,2024-12-07 07:53:42.838248
63e23d70-3cf,INV0000235,27600,2024-10-06 07:53:42.838248
f1e0a7b1-87f,INV0000236,86078,2025-09-18 07:53:42.838248
b0368340-e25,INV0000237,130479,2026-01-24 07:53:42.838248
79c2f7b8-982,INV0000238,112687,2025-10-05 07:53:42.838248
42e0589b-414,INV0000239,24333,2024-12-06 07:53:42.838248
5cfe933a-4ad,INV0000240,88106,2026-06-02 07:53:42.838248
28a8f1d1-41a,INV0000241,24441,2025-10-19 07:53:42.838248
456b4aed-f7e,INV0000242,127115,2026-06-26 07:53:42.838248
25e99e72-ea5,INV0000243,140622,2025-07-19 07:53:42.838248
ae386692-f19,INV0000244,38642,2026-02-06 07:53:42.838248
0835d732-904,INV0000245,52700,2024-12-11 07:53:42.838248
005eb5cf-df4,INV0000246,118408,2025-12-16 07:53:42.838248
0378fab9-ef7,INV0000247,19526,2024-12-18 07:53:42.838248
a0639aba-2cd,INV0000248,140817,2025-01-16 07:53:42.838248
394a1128-5de,INV0000249,84724,2025-01-30 07:53:42.838248
7186d085-8a0,INV0000250,47458,2025-07-02 07:53:42.838248
7f6cf0f4-274,INV0000251,64105,2025-07-20 07:53:42.838248
e4f66528-1f3,INV0000252,141025,2025-05-22 07:53:42.838248
2a8520ca-24c,INV0000253,25672,2025-04-14 07:53:42.838248
9b5b2ede-052,INV0000254,56459,2026-04-24 07:53:42.838248
db0c20e7-b78,INV0000255,149399,2025-05-24 07:53:42.838248
0cf7743a-305,INV0000256,37812,2026-05-22 07:53:42.838248
f7c3a253-09a,INV0000257,84383,2026-04-16 07:53:42.838248
93a06fed-c97,INV0000258,144848,2024-10-16 07:53:42.838248
2622b56c-1b3,INV0000259,136746,2026-05-15 07:53:42.838248
b64ed942-a10,INV0000260,49206,2026-03-25 07:53:42.838248
bdea65a2-08a,INV0000261,45421,2025-01-08 07:53:42.838248
0c681d3c-656,INV0000262,93504,2026-03-11 07:53:42.838248
9d02cb76-5e9,INV0000263,15798,2024-09-14 07:53:42.838248
54a462d5-907,INV0000264,26292,2024-09-14 07:53:42.838248
f5e654cc-e0d,INV0000265,74377,2026-05-18 07:53:42.838248
5972856a-0a1,INV0000266,60262,2026-02-21 07:53:42.838248
97601ac9-8dc,INV0000267,114205,2026-04-20 07:53:42.838248
f53b8f0e-7eb,INV0000268,12939,2026-01-10 07:53:42.838248
b8a95fb9-a45,INV0000269,148019,2025-05-10 07:53:42.838248
040f6ff9-f58,INV0000270,84192,2025-12-02 07:53:42.838248
f6da244d-4f7,INV0000271,69193,2026-07-10 07:53:42.838248
74e9d10b-220,INV0000272,111454,2025-06-19 07:53:42.838248
7413e037-518,INV0000273,123893,2024-11-02 07:53:42.838248
c0ab89a9-286,INV0000274,20705,2025-01-20 07:53:42.838248
fc3dcda7-044,INV0000275,120239,2025-10-01 07:53:42.838248
7b39ef71-6cc,INV0000276,131943,2025-11-15 07:53:42.838248
3dae6b01-ae1,INV0000277,58483,2025-07-28 07:53:42.838248
f9455bc7-e62,INV0000278,42661,2025-06-11 07:53:42.838248
15aae76c-853,INV0000279,88706,2025-08-08 07:53:42.838248
f4dddf87-db8,INV0000280,109521,2024-12-05 07:53:42.838248
64d48b55-7a5,INV0000281,102134,2026-01-21 07:53:42.838248
db4d074e-f8d,INV0000282,32835,2025-07-04 07:53:42.838248
1ddb3ca0-037,INV0000283,68370,2025-12-01 07:53:42.838248
559b00a7-0d7,INV0000284,37118,2025-04-19 07:53:42.838248
704f85aa-914,INV0000285,122858,2025-04-19 07:53:42.838248
6d17a63c-163,INV0000286,41930,2024-10-26 07:53:42.838248
106767b8-cfc,INV0000287,18265,2025-05-28 07:53:42.838248
99494092-244,INV0000288,105702,2026-04-19 07:53:42.838248
1daf2e5a-c74,INV0000289,114611,2025-04-01 07:53:42.838248
bbdeb218-8b1,INV0000290,46864,2025-06-22 07:53:42.838248
2ebefff4-57f,INV0000291,86976,2025-02-07 07:53:42.838248
4bcbe5a3-d93,INV0000292,46770,2025-12-11 07:53:42.838248
441718d9-b75,INV0000293,139932,2025-11-12 07:53:42.838248
85f2a1bd-c2c,INV0000294,135746,2025-06-12 07:53:42.838248
cce06f56-7eb,INV0000295,135382,2024-08-04 07:53:42.838248
b6c0838a-40d,INV0000296,28605,2025-08-31 07:53:42.838248
3673ade5-759,INV0000297,137499,2025-11-25 07:53:42.838248
23f964fc-1d9,INV0000298,68105,2025-03-02 07:53:42.838248
4b369e06-53c,INV0000299,97509,2024-09-16 07:53:42.838248
b216e71b-655,INV0000300,18248,2025-05-02 07:53:42.838248
33992b18-3e7,INV0000301,134733,2026-03-26 07:53:42.838248
06398d97-1f4,INV0000302,128361,2025-05-18 07:53:42.838248
24b54d77-443,INV0000303,145690,2024-08-19 07:53:42.838248
a560281d-843,INV0000304,33179,2025-10-04 07:53:42.838248
8897f02d-8e0,INV0000305,40110,2025-04-19 07:53:42.838248
ef3cd901-b84,INV0000306,100886,2025-09-11 07:53:42.838248
468c429e-767,INV0000307,100928,2024-09-25 07:53:42.838248
e9022741-fc0,INV0000308,110010,2024-09-11 07:53:42.838248
7a4c30ee-df3,INV0000309,56027,2025-07-20 07:53:42.838248
2df62e4b-539,INV0000310,80655,2024-10-23 07:53:42.838248
d537bb01-4b1,INV0000311,106279,2025-12-29 07:53:42.838248
de1658a3-b7c,INV0000312,123057,2026-01-30 07:53:42.838248
d8c07c6b-490,INV0000313,78327,2026-05-19 07:53:42.838248
86de140d-146,INV0000314,36145,2024-12-20 07:53:42.838248
5c813b09-9dc,INV0000315,30344,2025-09-10 07:53:42.838248
e1de8592-c5f,INV0000316,102831,2025-07-07 07:53:42.838248
7065b025-ab0,INV0000317,100841,2025-01-05 07:53:42.838248
d05cf092-ab9,INV0000318,57181,2026-03-23 07:53:42.838248
f77d2747-100,INV0000319,138463,2025-08-30 07:53:42.838248
fca1c898-9f8,INV0000320,136092,2024-09-18 07:53:42.838248
98a51a85-d60,INV0000321,16876,2024-09-04 07:53:42.838248
e99afbbd-3b7,INV0000322,40923,2026-07-22 07:53:42.838248
07eb3b00-442,INV0000323,92304,2025-11-24 07:53:42.838248
61a8ea85-f79,INV0000324,141139,2025-11-29 07:53:42.838248
bc42ee94-803,INV0000325,44043,2026-05-01 07:53:42.838248
e65e6ad2-d7a,INV0000326,140136,2025-01-06 07:53:42.838248
1ef2ac8b-fe7,INV0000327,90974,2026-05-10 07:53:42.838248
15a5041d-586,INV0000328,88500,2025-01-29 07:53:42.838248
23c683f6-c0a,INV0000329,108010,2026-05-05 07:53:42.838248
e1d0f68c-fc0,INV0000330,83442,2026-04-09 07:53:42.838248
83d4331c-dd7,INV0000331,93178,2025-12-26 07:53:42.838248
bed67c76-cc3,INV0000332,138618,2026-01-22 07:53:42.838248
dc954471-727,INV0000333,133410,2026-07-30 07:53:42.838248
debb9c5f-a92,INV0000334,83588,2025-11-20 07:53:42.838248
e7d32ec4-e77,INV0000335,9361,2025-07-30 07:53:42.838248
5261528d-bc0,INV0000336,91832,2026-06-01 07:53:42.838248
35159337-fe5,INV0000337,33732,2025-10-14 07:53:42.838248
d395cf9b-ac1,INV0000338,85655,2026-07-07 07:53:42.838248
dfb68547-296,INV0000339,11985,2026-04-17 07:53:42.838248
91e8cbde-9e4,INV0000340,129410,2025-04-21 07:53:42.838248
5a1475c5-227,INV0000341,64649,2024-10-12 07:53:42.838248
e2112128-567,INV0000342,130946,2025-01-31 07:53:42.838248
78367cb4-bf9,INV0000343,142424,2026-05-10 07:53:42.838248
988d8f53-a67,INV0000344,104664,2025-01-01 07:53:42.838248
e34e1dcf-46f,INV0000345,68490,2024-09-16 07:53:42.838248
b689c84d-b49,INV0000346,33808,2025-02-03 07:53:42.838248
e41ad67c-860,INV0000347,9964,2025-11-01 07:53:42.838248
5f7950d3-c3b,INV0000348,87232,2025-09-27 07:53:42.838248
51833639-fbd,INV0000349,44696,2025-09-17 07:53:42.838248
8bc23705-513,INV0000350,58448,2025-09-10 07:53:42.838248
67369056-acf,INV0000351,136548,2026-05-02 07:53:42.838248
19a0ab4e-fd3,INV0000352,128628,2024-10-21 07:53:42.838248
a9637372-4ea,INV0000353,41197,2026-01-11 07:53:42.838248
7746dfcb-b44,INV0000354,59353,2026-03-01 07:53:42.838248
6fe0ffab-626,INV0000355,90209,2026-05-27 07:53:42.838248
cccd87ab-db1,INV0000356,130402,2026-01-04 07:53:42.838248
1d611006-da9,INV0000357,103782,2025-07-03 07:53:42.838248
6aba6619-65d,INV0000358,50398,2025-11-27 07:53:42.838248
912d4bb2-634,INV0000359,144756,2025-07-19 07:53:42.838248
ada57fa6-74c,INV0000360,148202,2025-08-10 07:53:42.838248
d26fdf23-812,INV0000361,74300,2026-05-03 07:53:42.838248
9ed5ab63-bcc,INV0000362,131924,2025-03-02 07:53:42.838248
65243c63-805,INV0000363,69623,2025-05-26 07:53:42.838248
109c8113-01a,INV0000364,83249,2025-03-04 07:53:42.838248
618544e2-169,INV0000365,83017,2025-06-05 07:53:42.838248
3ad1ce03-6a2,INV0000366,59336,2026-06-25 07:53:42.838248
7929b3f1-529,INV0000367,133189,2025-06-07 07:53:42.838248
9135e709-27e,INV0000368,130777,2025-08-11 07:53:42.838248
e720714a-ecd,INV0000369,76685,2025-06-10 07:53:42.838248
9cf417ce-f8c,INV0000370,36948,2026-03-08 07:53:42.838248
fc81f432-a18,INV0000371,147394,2025-08-15 07:53:42.838248
725f1fc7-6a0,INV0000372,108424,2025-08-04 07:53:42.838248
04265dd0-8dd,INV0000373,43397,2025-05-12 07:53:42.838248
ab4f4cd9-3fd,INV0000374,16027,2025-06-02 07:53:42.838248
19194182-1e8,INV0000375,25717,2025-08-05 07:53:42.838248
2454780b-bd2,INV0000376,120966,2026-05-29 07:53:42.838248
67c2ecbe-cff,INV0000377,72225,2025-12-02 07:53:42.838248
ba27f6bc-b43,INV0000378,61095,2025-02-11 07:53:42.838248
cfa06808-9f5,INV0000379,146184,2025-04-15 07:53:42.838248
928a20fc-203,INV0000380,76203,2024-12-25 07:53:42.838248
88c5c7c1-dc5,INV0000381,33633,2026-04-19 07:53:42.838248
370cd001-17e,INV0000382,67726,2025-03-29 07:53:42.838248
25b53dde-ad6,INV0000383,18307,2026-06-09 07:53:42.838248
465e4cec-e89,INV0000384,144209,2025-04-06 07:53:42.838248
69d6d96a-7cd,INV0000385,66036,2024-09-23 07:53:42.838248
8f3ff40b-bbe,INV0000386,31266,2025-09-29 07:53:42.838248
896fb0bf-3b5,INV0000387,91584,2025-11-19 07:53:42.838248
f66256a2-a6a,INV0000388,31357,2026-06-28 07:53:42.838248
1d79f75d-115,INV0000389,41036,2024-07-29 07:53:42.838248
815dfc4b-8ce,INV0000390,149271,2025-01-01 07:53:42.838248
158f21ac-46f,INV0000391,111668,2026-05-29 07:53:42.838248
ed2e63e1-b52,INV0000392,129701,2025-12-18 07:53:42.838248
775f3223-afc,INV0000393,57286,2025-05-31 07:53:42.838248
9391e43e-47e,INV0000394,89192,2025-05-06 07:53:42.838248
22bd1d26-8b3,INV0000395,20509,2024-11-18 07:53:42.838248
8f7ab57c-267,INV0000396,65875,2026-02-07 07:53:42.838248
3769853a-5b7,INV0000397,14777,2025-01-15 07:53:42.838248
c85a8df9-4d5,INV0000398,114546,2025-02-17 07:53:42.838248
25289652-fb5,INV0000399,14526,2025-08-22 07:53:42.838248
9d1130e9-21a,INV0000400,134861,2025-02-04 07:53:42.838248
3a4f2bac-506,INV0000401,80882,2024-08-22 07:53:42.838248
d5ecff2e-c5f,INV0000402,7429,2025-06-18 07:53:42.838248
