invoice_id,vendor_id,invoice_date,invoice_amount,currency
INV0000075,V00124,2025-02-11 07:53:42.838248,52254,USD
INV0000076,V00095,2025-11-16 07:53:42.838248,94583,USD
INV0000077,V00199,2025-02-23 07:53:42.838248,55333,USD
INV0000078,V00332,2024-12-12 07:53:42.838248,41061,USD
INV0000079,V00060,2025-05-05 07:53:42.838248,25228,USD
INV0000080,V00146,2025-12-08 07:53:42.838248,31513,USD
INV0000081,V00171,2025-12-28 07:53:42.838248,146497,USD
INV0000082,V00115,2026-05-15 07:53:42.838248,14895,USD
INV0000083,V00315,2026-03-31 07:53:42.838248,93280,USD
INV0000084,V00296,2026-03-10 07:53:42.838248,39353,USD
INV0000085,V00307,2024-12-11 07:53:42.838248,103754,USD
INV0000086,V00307,2025-01-08 07:53:42.838248,47532,USD
INV0000087,V00138,2025-09-28 07:53:42.838248,48395,USD
INV0000088,V00004,2025-08-31 07:53:42.838248,16453,USD
INV0000089,V00144,2026-05-30 07:53:42.838248,100498,USD
INV0000090,V00140,2025-10-04 07:53:42.838248,67267,USD
INV0000091,V00081,2025-10-09 07:53:42.838248,79692,USD
INV0000092,V00256,2026-01-04 07:53:42.838248,66342,USD
INV0000093,V00296,2025-05-19 07:53:42.838248,67696,USD
INV0000094,V00010,2025-01-21 07:53:42.838248,127949,USD
INV0000095,V00017,2026-06-01 07:53:42.838248,101427,USD
INV0000096,V00325,2025-10-22 07:53:42.838248,120499,USD
INV0000097,V00163,2025-08-02 07:53:42.838248,78864,USD
INV0000098,V00296,2025-12-29 07:53:42.838248,136833,USD
INV0000099,V00146,2024-12-19 07:53:42.838248,114749,USD
INV0000100,V00204,2026-03-18 07:53:42.838248,57349,USD
INV0000101,V00228,2025-03-20 07:53:42.838248,41280,USD
INV0000102,V00100,2026-04-24 07:53:42.838248,18678,USD
INV0000103,V00121,2025-07-22 07:53:42.838248,130983,USD
INV0000104,V00307,2026-07-05 07:53:42.838248,31893,USD
INV0000105,V00250,2024-11-11 07:53:42.838248,140242,USD
INV0000106,V00323,2024-09-30 07:53:42.838248,79727,USD
INV0000107,V00058,2025-04-12 07:53:42.838248,47024,USD
INV0000108,V00216,2025-12-14 07:53:42.838248,122786,USD
INV0000109,V00197,2025-09-27 07:53:42.838248,43626,USD
INV0000110,V00236,2025-02-19 07:53:42.838248,29042,USD
INV0000111,V00110,2025-06-29 07:53:42.838248,123260,USD
INV0000112,V00195,2025-09-04 07:53:42.838248,11991,USD
INV0000113,V00305,2025-08-16 07:53:42.838248,18960,USD
INV0000114,V00254,2025-07-24 07:53:42.838248,136598,USD
INV0000115,V00022,2025-08-06 07:53:42.838248,66807,USD
INV0000116,V00228,2025-07-25 07:53:42.838248,26392,USD
INV0000117,V00004,2024-08-04 07:53:42.838248,63861,USD
INV0000118,V00114,2024-10-16 07:53:42.838248,88541,USD
INV0000119,V00252,2024-12-03 07:53:42.838248,92894,USD
INV0000120,V00077,2024-08-15 07:53:42.838248,41070,USD
INV0000121,V00334,2025-11-02 07:53:42.838248,80203,USD
INV0000122,V00262,2026-06-29 07:53:42.838248,41383,USD
INV0000123,V00133,2025-10-09 07:53:42.838248,127974,USD
INV0000124,V00027,2024-09-26 07:53:42.838248,6376,USD
INV0000125,V00250,2025-03-26 07:53:42.838248,9981,USD
INV0000126,V00105,2024-12-07 07:53:42.838248,61532,USD
INV0000127,V00101,2026-03-22 07:53:42.838248,148865,USD
INV0000128,V00271,2025-09-13 07:53:42.838248,143352,USD
INV0000129,V00265,2025-04-28 07:53:42.838248,34146,USD
INV0000130,V00127,2025-05-11 07:53:42.838248,67295,USD
INV0000131,V00124,2024-08-24 07:53:42.838248,36941,USD
INV0000132,V00017,2025-09-09 07:53:42.838248,67505,USD
INV0000133,V00279,2024-09-09 07:53:42.838248,124829,USD
INV0000134,V00226,2025-11-30 07:53:42.838248,34060,USD
INV0000135,V00135,2024-07-23 07:53:42.838248,145523,USD
INV0000136,V00063,2026-02-15 07:53:42.838248,140102,USD
INV0000137,V00025,2024-12-01 07:53:42.838248,68422,USD
INV0000138,V00165,2025-09-19 07:53:42.838248,81355,USD
INV0000139,V00255,2026-03-28 07:53:42.838248,5410,USD
INV0000140,V00173,2025-03-10 07:53:42.838248,97488,USD
INV0000141,V00083,2025-01-14 07:53:42.838248,114200,USD
INV0000142,V00216,2025-12-25 07:53:42.838248,27443,USD
INV0000143,V00010,2024-09-14 07:53:42.838248,99530,USD
INV0000144,V00114,2026-01-15 07:53:42.838248,142903,USD
INV0000145,V00201,2025-12-08 07:53:42.838248,137992,USD
INV0000146,V00261,2025-08-10 07:53:42.838248,10330,USD
INV0000147,V00036,2024-08-20 07:53:42.838248,128243,USD
INV0000148,V00110,2025-07-24 07:53:42.838248,106418,USD
INV0000149,V00069,2024-07-23 07:53:42.838248,71492,USD
INV0000150,V00060,2024-09-14 07:53:42.838248,98610,USD
INV0000151,V00313,2025-03-10 07:53:42.838248,95387,USD
INV0000152,V00334,2026-02-22 07:53:42.838248,32174,USD
INV0000153,V00140,2024-11-20 07:53:42.838248,92167,USD
INV0000154,V00168,2025-07-02 07:53:42.838248,16622,USD
INV0000155,V00339,2025-06-18 07:53:42.838248,148134,USD
INV0000156,V00004,2026-06-08 07:53:42.838248,50898,USD
INV0000157,V00280,2026-06-19 07:53:42.838248,126798,USD
INV0000158,V00126,2026-04-14 07:53:42.838248,130444,USD
INV0000159,V00285,2024-11-22 07:53:42.838248,52783,USD
INV0000160,V00275,2025-10-18 07:53:42.838248,21541,USD
INV0000161,V00312,2025-05-03 07:53:42.838248,14695,USD
INV0000162,V00008,2024-08-20 07:53:42.838248,57845,USD
INV0000163,V00148,2024-08-18 07:53:42.838248,57289,USD
INV0000164,V00130,2025-05-20 07:53:42.838248,87731,USD
INV0000165,V00349,2025-08-18 07:53:42.838248,140104,USD
INV0000166,V00017,2025-11-03 07:53:42.838248,147352,USD
INV0000167,V00283,2024-08-13 07:53:42.838248,71404,USD
INV0000168,V00230,2025-04-25 07:53:42.838248,55096,USD
INV0000169,V00345,2024-08-24 07:53:42.838248,98578,USD
INV0000170,V00322,2025-04-12 07:53:42.838248,92012,USD
INV0000171,V00271,2025-07-18 07:53:42.838248,37630,USD
INV0000172,V00017,2025-08-20 07:53:42.838248,119544,USD
INV0000173,V00056,2025-08-06 07:53:42.838248,120274,USD
INV0000174,V00139,2025-01-14 07:53:42.838248,93876,USD
INV0000175,V00155,2026-06-15 07:53:42.838248,135076,USD
INV0000176,V00121,2025-07-18 07:53:42.838248,135422,USD
INV0000177,V00126,2025-04-06 07:53:42.838248,141125,USD
INV0000178,V00155,2025-09-14 07:53:42.838248,26656,USD
INV0000179,V00196,2025-09-20 07:53:42.838248,25690,USD
INV0000180,V00163,2026-01-16 07:53:42.838248,52305,USD
INV0000181,V00334,2025-05-31 07:53:42.838248,82009,USD
INV0000182,V00267,2024-09-26 07:53:42.838248,31895,USD
INV0000183,V00290,2026-05-14 07:53:42.838248,90962,USD
INV0000184,V00339,2025-05-16 07:53:42.838248,82500,USD
INV0000185,V00113,2026-03-16 07:53:42.838248,121894,USD
INV0000186,V00227,2024-12-24 07:53:42.838248,116703,USD
INV0000187,V00062,2025-07-01 07:53:42.838248,121367,USD
INV0000188,V00101,2024-08-19 07:53:42.838248,122212,USD
INV0000189,V00026,2026-03-28 07:53:42.838248,97421,USD
INV0000190,V00298,2025-04-14 07:53:42.838248,119017,USD
INV0000191,V00063,2024-09-21 07:53:42.838248,20036,USD
INV0000192,V00044,2025-07-14 07:53:42.838248,111485,USD
INV0000193,V00112,2026-06-02 07:53:42.838248,139502,USD
INV0000194,V00298,2024-08-07 07:53:42.838248,46939,USD
INV0000195,V00300,2026-03-21 07:53:42.838248,42428,USD
INV0000196,V00192,2024-08-11 07:53:42.838248,119864,USD
INV0000197,V00198,2024-09-13 07:53:42.838248,38090,USD
INV0000198,V00058,2026-04-28 07:53:42.838248,66864,USD
INV0000199,V00052,2025-07-12 07:53:42.838248,101030,USD
INV0000200,V00049,2026-02-07 07:53:42.838248,105362,USD
INV0000201,V00253,2026-03-18 07:53:42.838248,13489,USD
INV0000202,V00116,2026-06-02 07:53:42.838248,45222,USD
INV0000203,V00163,2025-07-21 07:53:42.838248,122944,USD
INV0000204,V00323,2025-10-04 07:53:42.838248,102521,USD
INV0000205,V00154,2026-02-14 07:53:42.838248,25155,USD
INV0000206,V00346,2025-12-31 07:53:42.838248,41095,USD
INV0000207,V00052,2025-08-18 07:53:42.838248,101193,USD
INV0000208,V00011,2026-05-03 07:53:42.838248,87414,USD
INV0000209,V00185,2025-03-19 07:53:42.838248,78056,USD
INV0000210,V00029,2024-08-02 07:53:42.838248,34739,USD
INV0000211,V00324,2025-11-30 07:53:42.838248,53771,USD
INV0000212,V00211,2025-08-07 07:53:42.838248,140723,USD
INV0000213,V00252,2025-04-01 07:53:42.838248,35870,USD
INV0000214,V00126,2026-06-27 07:53:42.838248,73233,USD
INV0000215,V00127,2025-02-11 07:53:42.838248,121987,USD
INV0000216,V00101,2026-06-17 07:53:42.838248,79862,USD
INV0000217,V00117,2025-01-27 07:53:42.838248,133765,USD
INV0000218,V00295,2024-11-22 07:53:42.838248,37148,USD
INV0000219,V00059,2025-10-12 07:53:42.838248,24412,USD
INV0000220,V00007,2026-07-07 07:53:42.838248,50260,USD
INV0000221,V00190,2024-10-04 07:53:42.838248,121683,USD
INV0000222,V00167,2026-05-21 07:53:42.838248,88778,USD
INV0000223,V00071,2026-07-03 07:53:42.838248,96075,USD
INV0000224,V00204,2026-01-21 07:53:42.838248,22023,USD
INV0000225,V00325,2025-04-30 07:53:42.838248,147126,USD
INV0000226,V00284,2024-12-15 07:53:42.838248,83631,USD
INV0000227,V00321,2025-07-12 07:53:42.838248,50636,USD
INV0000228,V00106,2025-02-21 07:53:42.838248,138367,USD
INV0000229,V00016,2025-01-28 07:53:42.838248,36814,USD
INV0000230,V00102,2025-03-06 07:53:42.838248,41405,USD
INV0000231,V00283,2024-08-02 07:53:42.838248,134504,USD
INV0000232,V00058,2026-01-25 07:53:42.838248,99606,USD
INV0000233,V00302,2025-10-28 07:53:42.838248,101707,USD
INV0000234,V00016,2024-11-16 07:53:42.838248,149610,USD
INV0000235,V00216,2024-09-12 07:53:42.838248,27600,USD
INV0000236,V00164,2025-08-18 07:53:42.838248,86078,USD
INV0000237,V00102,2025-12-27 07:53:42.838248,130479,USD
INV0000238,V00012,2025-08-30 07:53:42.838248,112687,USD
INV0000239,V00037,2024-11-12 07:53:42.838248,24333,USD
INV0000240,V00065,2026-04-25 07:53:42.838248,88106,USD
INV0000241,V00160,2025-10-10 07:53:42.838248,24441,USD
INV0000242,V00080,2026-06-03 07:53:42.838248,127115,USD
INV0000243,V00003,2025-06-24 07:53:42.838248,140622,USD
INV0000244,V00023,2026-01-22 07:53:42.838248,38642,USD
INV0000245,V00314,2024-11-16 07:53:42.838248,52700,USD
INV0000246,V00337,2025-12-03 07:53:42.838248,118408,USD
INV0000247,V00078,2024-11-11 07:53:42.838248,19526,USD
INV0000248,V00239,2024-12-10 07:53:42.838248,140817,USD
INV0000249,V00049,2024-12-22 07:53:42.838248,84724,USD
INV0000250,V00062,2025-06-02 07:53:42.838248,47458,USD
INV0000251,V00142,2025-06-26 07:53:42.838248,64105,USD
INV0000252,V00308,2025-04-23 07:53:42.838248,141025,USD
INV0000253,V00304,2025-03-20 07:53:42.838248,25672,USD
INV0000254,V00220,2026-04-18 07:53:42.838248,56459,USD
INV0000255,V00240,2025-04-14 07:53:42.838248,149399,USD
INV0000256,V00341,2026-04-08 07:53:42.838248,37812,USD
INV0000257,V00123,2026-03-28 07:53:42.838248,84383,USD
INV0000258,V00294,2024-10-10 07:53:42.838248,144848,USD
INV0000259,V00051,2026-04-24 07:53:42.838248,136746,USD
INV0000260,V00254,2026-03-05 07:53:42.838248,49206,USD
INV0000261,V00094,2024-12-29 07:53:42.838248,45421,USD
INV0000262,V00087,2026-02-04 07:53:42.838248,93504,USD
INV0000263,V00291,2024-08-05 07:53:42.838248,15798,USD
INV0000264,V00232,2024-08-22 07:53:42.838248,26292,USD
INV0000265,V00149,2026-05-04 07:53:42.838248,74377,USD
INV0000266,V00244,2026-02-12 07:53:42.838248,60262,USD
INV0000267,V00114,2026-03-31 07:53:42.838248,114205,USD
INV0000268,V00102,2025-11-28 07:53:42.838248,12939,USD
INV0000269,V00075,2025-04-29 07:53:42.838248,148019,USD
INV0000270,V00184,2025-11-13 07:53:42.838248,84192,USD
INV0000271,V00306,2026-06-08 07:53:42.838248,69193,USD
INV0000272,V00114,2025-05-07 07:53:42.838248,111454,USD
INV0000273,V00187,2024-09-19 07:53:42.838248,123893,USD
INV0000274,V00075,2024-12-15 07:53:42.838248,20705,USD
INV0000275,V00063,2025-09-05 07:53:42.838248,120239,USD
INV0000276,V00331,2025-10-25 07:53:42.838248,131943,USD
INV0000277,V00293,2025-06-20 07:53:42.838248,58483,USD
INV0000278,V00323,2025-05-23 07:53:42.838248,42661,USD
INV0000279,V00115,2025-06-25 07:53:42.838248,88706,USD
INV0000280,V00099,2024-11-17 07:53:42.838248,109521,USD
INV0000281,V00054,2025-12-16 07:53:42.838248,102134,USD
INV0000282,V00025,2025-05-29 07:53:42.838248,32835,USD
INV0000283,V00095,2025-10-27 07:53:42.838248,68370,USD
INV0000284,V00197,2025-04-06 07:53:42.838248,37118,USD
INV0000285,V00219,2025-03-17 07:53:42.838248,122858,USD
INV0000286,V00034,2024-10-14 07:53:42.838248,41930,USD
INV0000287,V00052,2025-04-30 07:53:42.838248,18265,USD
INV0000288,V00102,2026-03-29 07:53:42.838248,105702,USD
INV0000289,V00294,2025-03-18 07:53:42.838248,114611,USD
INV0000290,V00262,2025-06-07 07:53:42.838248,46864,USD
INV0000291,V00184,2025-01-17 07:53:42.838248,86976,USD
INV0000292,V00038,2025-11-29 07:53:42.838248,46770,USD
INV0000293,V00089,2025-10-28 07:53:42.838248,139932,USD
INV0000294,V00080,2025-05-18 07:53:42.838248,135746,USD
INV0000295,V00346,2024-07-30 07:53:42.838248,135382,USD
INV0000296,V00102,2025-08-13 07:53:42.838248,28605,USD
INV0000297,V00167,2025-10-18 07:53:42.838248,137499,USD
INV0000298,V00094,2025-02-12 07:53:42.838248,68105,USD
INV0000299,V00059,2024-08-25 07:53:42.838248,97509,USD
INV0000300,V00048,2025-04-21 07:53:42.838248,18248,USD
INV0000301,V00116,2026-03-10 07:53:42.838248,134733,USD
INV0000302,V00164,2025-04-25 07:53:42.838248,128361,USD
INV0000303,V00199,2024-07-15 07:53:42.838248,145690,USD
INV0000304,V00043,2025-09-21 07:53:42.838248,33179,USD
INV0000305,V00034,2025-04-03 07:53:42.838248,40110,USD
INV0000306,V00242,2025-08-23 07:53:42.838248,100886,USD
INV0000307,V00333,2024-08-22 07:53:42.838248,100928,USD
INV0000308,V00015,2024-08-28 07:53:42.838248,110010,USD
INV0000309,V00028,2025-07-13 07:53:42.838248,56027,USD
INV0000310,V00186,2024-09-20 07:53:42.838248,80655,USD
INV0000311,V00250,2025-12-05 07:53:42.838248,106279,USD
INV0000312,V00069,2026-01-21 07:53:42.838248,123057,USD
INV0000313,V00114,2026-04-06 07:53:42.838248,78327,USD
INV0000314,V00144,2024-11-15 07:53:42.838248,36145,USD
INV0000315,V00258,2025-08-14 07:53:42.838248,30344,USD
INV0000316,V00217,2025-06-19 07:53:42.838248,102831,USD
INV0000317,V00026,2024-12-01 07:53:42.838248,100841,USD
INV0000318,V00321,2026-03-15 07:53:42.838248,57181,USD
INV0000319,V00344,2025-08-22 07:53:42.838248,138463,USD
INV0000320,V00330,2024-08-17 07:53:42.838248,136092,USD
INV0000321,V00117,2024-08-15 07:53:42.838248,16876,USD
INV0000322,V00331,2026-07-07 07:53:42.838248,40923,USD
INV0000323,V00001,2025-11-04 07:53:42.838248,92304,USD
INV0000324,V00030,2025-10-17 07:53:42.838248,141139,USD
INV0000325,V00201,2026-03-19 07:53:42.838248,44043,USD
INV0000326,V00114,2024-11-27 07:53:42.838248,140136,USD
INV0000327,V00111,2026-03-26 07:53:42.838248,90974,USD
INV0000328,V00011,2024-12-20 07:53:42.838248,88500,USD
INV0000329,V00316,2026-03-30 07:53:42.838248,108010,USD
INV0000330,V00188,2026-03-06 07:53:42.838248,83442,USD
INV0000331,V00074,2025-12-08 07:53:42.838248,93178,USD
INV0000332,V00030,2026-01-03 07:53:42.838248,138618,USD
INV0000333,V00198,2026-07-02 07:53:42.838248,133410,USD
INV0000334,V00323,2025-11-05 07:53:42.838248,83588,USD
INV0000335,V00145,2025-07-19 07:53:42.838248,9361,USD
INV0000336,V00018,2026-05-27 07:53:42.838248,91832,USD
INV0000337,V00276,2025-09-06 07:53:42.838248,33732,USD
INV0000338,V00348,2026-06-11 07:53:42.838248,85655,USD
INV0000339,V00338,2026-03-10 07:53:42.838248,11985,USD
INV0000340,V00101,2025-04-04 07:53:42.838248,129410,USD
INV0000341,V00075,2024-08-28 07:53:42.838248,64649,USD
INV0000342,V00162,2024-12-28 07:53:42.838248,130946,USD
INV0000343,V00202,2026-04-12 07:53:42.838248,142424,USD
INV0000344,V00179,2024-12-05 07:53:42.838248,104664,USD
INV0000345,V00037,2024-08-08 07:53:42.838248,68490,USD
INV0000346,V00196,2025-01-18 07:53:42.838248,33808,USD
INV0000347,V00104,2025-10-01 07:53:42.838248,9964,USD
INV0000348,V00118,2025-09-08 07:53:42.838248,87232,USD
INV0000349,V00095,2025-09-02 07:53:42.838248,44696,USD
INV0000350,V00285,2025-08-31 07:53:42.838248,58448,USD
INV0000351,V00179,2026-03-25 07:53:42.838248,136548,USD
INV0000352,V00302,2024-09-08 07:53:42.838248,128628,USD
INV0000353,V00171,2025-12-20 07:53:42.838248,41197,USD
INV0000354,V00204,2026-02-01 07:53:42.838248,59353,USD
INV0000355,V00260,2026-05-16 07:53:42.838248,90209,USD
INV0000356,V00077,2025-12-27 07:53:42.838248,130402,USD
INV0000357,V00241,2025-05-24 07:53:42.838248,103782,USD
INV0000358,V00230,2025-10-20 07:53:42.838248,50398,USD
INV0000359,V00018,2025-06-22 07:53:42.838248,144756,USD
INV0000360,V00350,2025-07-04 07:53:42.838248,148202,USD
INV0000361,V00162,2026-03-23 07:53:42.838248,74300,USD
INV0000362,V00217,2025-01-19 07:53:42.838248,131924,USD
INV0000363,V00089,2025-04-18 07:53:42.838248,69623,USD
INV0000364,V00341,2025-02-22 07:53:42.838248,83249,USD
INV0000365,V00221,2025-04-28 07:53:42.838248,83017,USD
INV0000366,V00094,2026-06-13 07:53:42.838248,59336,USD
INV0000367,V00286,2025-05-27 07:53:42.838248,133189,USD
INV0000368,V00237,2025-06-29 07:53:42.838248,130777,USD
INV0000369,V00253,2025-04-27 07:53:42.838248,76685,USD
INV0000370,V00249,2026-02-14 07:53:42.838248,36948,USD
INV0000371,V00309,2025-07-30 07:53:42.838248,147394,USD
INV0000372,V00115,2025-06-25 07:53:42.838248,108424,USD
INV0000373,V00163,2025-04-30 07:53:42.838248,43397,USD
INV0000374,V00263,2025-04-27 07:53:42.838248,16027,USD
INV0000375,V00222,2025-06-26 07:53:42.838248,25717,USD
INV0000376,V00186,2026-05-09 07:53:42.838248,120966,USD
INV0000377,V00163,2025-11-09 07:53:42.838248,72225,USD
INV0000378,V00238,2025-01-29 07:53:42.838248,61095,USD
INV0000379,V00161,2025-04-10 07:53:42.838248,146184,USD
INV0000380,V00021,2024-11-24 07:53:42.838248,76203,USD
INV0000381,V00093,2026-03-29 07:53:42.838248,33633,USD
INV0000382,V00007,2025-03-12 07:53:42.838248,67726,USD
INV0000383,V00236,2026-05-23 07:53:42.838248,18307,USD
INV0000384,V00325,2025-02-23 07:53:42.838248,144209,USD
INV0000385,V00344,2024-08-29 07:53:42.838248,66036,USD
INV0000386,V00280,2025-09-03 07:53:42.838248,31266,USD
INV0000387,V00242,2025-11-02 07:53:42.838248,91584,USD
INV0000388,V00271,2026-06-04 07:53:42.838248,31357,USD
INV0000389,V00090,2024-07-12 07:53:42.838248,41036,USD
INV0000390,V00242,2024-12-15 07:53:42.838248,149271,USD
INV0000391,V00267,2026-05-06 07:53:42.838248,111668,USD
INV0000392,V00088,2025-11-07 07:53:42.838248,129701,USD
INV0000393,V00030,2025-04-27 07:53:42.838248,57286,USD
INV0000394,V00122,2025-04-25 07:53:42.838248,89192,USD
INV0000395,V00073,2024-10-06 07:53:42.838248,20509,USD
INV0000396,V00220,2026-01-05 07:53:42.838248,65875,USD
INV0000397,V00249,2025-01-02 07:53:42.838248,14777,USD
INV0000398,V00226,2025-01-03 07:53:42.838248,114546,USD
INV0000399,V00177,2025-08-17 07:53:42.838248,14526,USD
INV0000400,V00134,2025-01-13 07:53:42.838248,134861,USD
INV0000401,V00043,2024-08-14 07:53:42.838248,80882,USD
INV0000402,V00119,2025-05-08 07:53:42.838248,7429,USD
INV0000403,V00060,2025-06-15 07:53:42.838248,33128,USD
INV0000404,V00068,2025-10-15 07:53:42.838248,79596,USD
INV0000405,V00236,2025-12-25 07:53:42.838248,147422,USD
INV0000406,V00175,2024-11-21 07:53:42.838248,134476,USD
INV0000407,V00205,2025-10-29 07:53:42.838248,137176,USD
INV0000408,V00340,2025-01-20 07:53:42.838248,76522,USD
INV0000409,V00310,2025-06-10 07:53:42.838248,34529,USD
INV0000410,V00040,2025-10-19 07:53:42.838248,47596,USD
INV0000411,V00333,2025-01-13 07:53:42.838248,72440,USD
INV0000412,V00053,2025-06-17 07:53:42.838248,8692,USD
INV0000413,V00100,2026-02-08 07:53:42.838248,82338,USD
INV0000414,V00253,2025-01-02 07:53:42.838248,55636,USD
INV0000415,V00045,2025-09-17 07:53:42.838248,111296,USD
INV0000416,V00257,2025-06-07 07:53:42.838248,140077,USD
INV0000417,V00060,2025-08-21 07:53:42.838248,27737,USD
INV0000418,V00114,2025-01-12 07:53:42.838248,30004,USD
INV0000419,V00260,2025-11-07 07:53:42.838248,41860,USD
INV0000420,V00266,2025-03-18 07:53:42.838248,89830,USD
INV0000421,V00191,2025-03-31 07:53:42.838248,6790,USD
INV0000422,V00331,2025-03-05 07:53:42.838248,105551,USD
INV0000423,V00346,2025-04-06 07:53:42.838248,122109,USD
INV0000424,V00046,2025-05-12 07:53:42.838248,91409,USD
INV0000425,V00069,2025-03-31 07:53:42.838248,7997,USD
INV0000426,V00179,2026-06-16 07:53:42.838248,99254,USD
INV0000427,V00109,2024-09-08 07:53:42.838248,66945,USD
INV0000428,V00315,2025-10-26 07:53:42.838248,35991,USD
INV0000429,V00014,2024-12-17 07:53:42.838248,85427,USD
INV0000430,V00009,2026-06-09 07:53:42.838248,111277,USD
INV0000431,V00078,2026-06-27 07:53:42.838248,136732,USD
INV0000432,V00348,2026-06-13 07:53:42.838248,86521,USD
INV0000433,V00084,2026-04-22 07:53:42.838248,35779,USD
INV0000434,V00312,2025-07-18 07:53:42.838248,82342,USD
INV0000435,V00187,2025-02-16 07:53:42.838248,62894,USD
